Country Name,Country Code,GDP(2021)
Aruba,ABW,3126019399.00
Africa Eastern and Southern,AFE,1089450000000.00
Afghanistan,AFG,14786861638.00
Africa Western and Central,AFW,840187000000.00
Angola,AGO,67404287260.00
Albania,ALB,18255787479.00
Andorra,AND,3330281524.00
Arab World,ARB,2862990000000.00
United Arab Emirates,ARE,415022000000.00
Argentina,ARG,487227000000.00
Armenia,ARM,13861409969.00
American Samoa,ASM,709000000.00
Antigua and Barbuda,ATG,1471125926.00
Australia,AUS,1552670000000.00
Austria,AUT,480368000000.00
Azerbaijan,AZE,54622176471.00
Burundi,BDI,2779813489.00
Belgium,BEL,594104000000.00
Benin,BEN,17144918952.00
Burkina Faso,BFA,19737615114.00
Bangladesh,BGD,416265000000.00
Bulgaria,BGR,84056312734.00
Bahrain,BHR,38868663032.00
"Bahamas, The",BHS,11208600000.00
Bosnia and Herzegovina,BIH,23365361635.00
Belarus,BLR,68205380707.00
Belize,BLZ,2491500000.00
Bermuda,BMU,7286607000.00
Bolivia,BOL,40408208528.00
Brazil,BRA,1608980000000.00
Barbados,BRB,4843800000.00
Brunei Darussalam,BRN,14006569576.00
Bhutan,BTN,2539552985.00
Botswana,BWA,17614791266.00
Central African Republic,CAF,2516498299.00
Canada,CAN,1988340000000.00
Central Europe and the Baltics,CEB,1901940000000.00
Switzerland,CHE,800640000000.00
Channel Islands,CHI,
Chile,CHL,317059000000.00
China,CHN,17734100000000.00
Cote d'Ivoire,CIV,70043191477.00
Cameroon,CMR,45338283345.00
"Congo, Dem. Rep.",COD,55350968593.00
"Congo, Rep.",COG,13366230220.00
Colombia,COL,314464000000.00
Comoros,COM,1296089633.00
Cabo Verde,CPV,1936174043.00
Costa Rica,CRI,64282438667.00
Caribbean small states,CSS,75295300457.00
Cuba,CUB,
Curacao,CUW,2699612458.00
Cayman Islands,CYM,5898449688.00
Cyprus,CYP,28407867534.00
Czechia,CZE,281778000000.00
Germany,DEU,4259930000000.00
Djibouti,DJI,3482987379.00
Dominica,DMA,554181481.50
Denmark,DNK,398303000000.00
Dominican Republic,DOM,94243453937.00
Algeria,DZA,163044000000.00
East Asia & Pacific (excluding high income),EAP,20751800000000.00
Early-demographic dividend,EAR,12637300000000.00
East Asia & Pacific,EAS,30911700000000.00
Europe & Central Asia (excluding high income),ECA,3517370000000.00
Europe & Central Asia,ECS,25082800000000.00
Ecuador,ECU,106166000000.00
"Egypt, Arab Rep.",EGY,404143000000.00
Euro area,EMU,14563300000000.00
Eritrea,ERI,
Spain,ESP,1427380000000.00
Estonia,EST,37191166152.00
Ethiopia,ETH,111271000000.00
European Union,EUU,17177400000000.00
Fragile and conflict affected situations,FCS,1799020000000.00
Finland,FIN,297302000000.00
Fiji,FJI,4296304590.00
France,FRA,2957880000000.00
Faroe Islands,FRO,3649886275.00
"Micronesia, Fed. Sts.",FSM,404028900.00
Gabon,GAB,20216843174.00
United Kingdom,GBR,3131380000000.00
Georgia,GEO,18629365597.00
Ghana,GHA,77594279055.00
Gibraltar,GIB,
Guinea,GIN,16091817842.00
"Gambia, The",GMB,2038417462.00
Guinea-Bissau,GNB,1638517533.00
Equatorial Guinea,GNQ,12269392840.00
Greece,GRC,214874000000.00
Grenada,GRD,1122807407.00
Greenland,GRL,
Guatemala,GTM,85985752107.00
Guam,GUM,6123000000.00
Guyana,GUY,8044498801.00
High income,HIC,59829700000000.00
"Hong Kong SAR, China",HKG,369176000000.00
Honduras,HND,28488668302.00
Heavily indebted poor countries (HIPC),HPC,891901000000.00
Croatia,HRV,68955083280.00
Haiti,HTI,20944392615.00
Hungary,HUN,181848000000.00
IBRD only,IBD,35511400000000.00
IDA & IBRD total,IBT,38062800000000.00
IDA total,IDA,2549110000000.00
IDA blend,IDB,1096480000000.00
Indonesia,IDN,1186090000000.00
IDA only,IDX,1456250000000.00
Isle of Man,IMN,
India,IND,3176300000000.00
Not classified,INX,
Ireland,IRL,504183000000.00
"Iran, Islamic Rep.",IRN,359713000000.00
Iraq,IRQ,207889000000.00
Iceland,ISL,25602419210.00
Israel,ISR,488527000000.00
Italy,ITA,2107700000000.00
Jamaica,JAM,14657586937.00
Jordan,JOR,45744271659.00
Japan,JPN,4940880000000.00
Kazakhstan,KAZ,197112000000.00
Kenya,KEN,110347000000.00
Kyrgyz Republic,KGZ,8543423503.00
Cambodia,KHM,26961061120.00
Kiribati,KIR,207031250.00
St. Kitts and Nevis,KNA,860840740.70
"Korea, Rep.",KOR,1810960000000.00
Kuwait,KWT,
Latin America & Caribbean (excluding high income),LAC,4585100000000.00
Lao PDR,LAO,18827148510.00
Lebanon,LBN,23131940281.00
Liberia,LBR,3509000000.00
Libya,LBY,42817472975.00
St. Lucia,LCA,1691275157.00
Latin America & Caribbean,LCN,5454430000000.00
Least developed countries: UN classification,LDC,1280910000000.00
Low income,LIC,562978000000.00
Liechtenstein,LIE,
Sri Lanka,LKA,88927263725.00
Lower middle income,LMC,8742530000000.00
Low & middle income,LMY,36370600000000.00
Lesotho,LSO,2496134680.00
Late-demographic dividend,LTE,26622100000000.00
Lithuania,LTU,66445256585.00
Luxembourg,LUX,85506243834.00
Latvia,LVA,39853501580.00
"Macao SAR, China",MAC,30123914809.00
St. Martin (French part),MAF,
Morocco,MAR,142866000000.00
Monaco,MCO,8596096984.00
Moldova,MDA,13679221333.00
Madagascar,MDG,14472603323.00
Maldives,MDV,5405576236.00
Middle East & North Africa,MEA,3679840000000.00
Mexico,MEX,1272840000000.00
Marshall Islands,MHL,259538700.00
Middle income,MIC,35845100000000.00
North Macedonia,MKD,13825049832.00
Mali,MLI,19140461606.00
Malta,MLT,17364044944.00
Myanmar,MMR,65091751273.00
Middle East & North Africa (excluding high income),MNA,1493750000000.00
Montenegro,MNE,5861268039.00
Mongolia,MNG,15286441818.00
Northern Mariana Islands,MNP,
Mozambique,MOZ,15776758633.00
Mauritania,MRT,9996249658.00
Mauritius,MUS,11529042672.00
Malawi,MWI,12626717492.00
Malaysia,MYS,372981000000.00
North America,NAC,25310700000000.00
Namibia,NAM,12310595844.00
New Caledonia,NCL,10071351960.00
Niger,NER,14915001427.00
Nigeria,NGA,440834000000.00
Nicaragua,NIC,14013022092.00
Netherlands,NLD,1012850000000.00
Norway,NOR,482175000000.00
Nepal,NPL,36288830373.00
Nauru,NRU,133218896.90
New Zealand,NZL,249886000000.00
OECD members,OED,58268400000000.00
Oman,OMN,88191977373.00
Other small states,OSS,453948000000.00
Pakistan,PAK,348263000000.00
Panama,PAN,63605100000.00
Peru,PER,223249000000.00
Philippines,PHL,394086000000.00
Palau,PLW,217800000.00
Papua New Guinea,PNG,26594305746.00
Poland,POL,679445000000.00
Pre-demographic dividend,PRE,1434260000000.00
Puerto Rico,PRI,106526000000.00
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,253663000000.00
Paraguay,PRY,39495431574.00
West Bank and Gaza,PSE,18036800000.00
Pacific island small states,PSS,9481916212.00
Post-demographic dividend,PST,54972700000000.00
French Polynesia,PYF,6054676735.00
Qatar,QAT,179677000000.00
Romania,ROU,284088000000.00
Russian Federation,RUS,1778780000000.00
Rwanda,RWA,11070356519.00
South Asia,SAS,4088770000000.00
Saudi Arabia,SAU,833541000000.00
Sudan,SDN,34326058557.00
Senegal,SEN,27625388352.00
Singapore,SGP,396987000000.00
Solomon Islands,SLB,1631486532.00
Sierra Leone,SLE,4042237864.00
El Salvador,SLV,28736940000.00
San Marino,SMR,
Somalia,SOM,7628000011.00
Serbia,SRB,63082047650.00
Sub-Saharan Africa (excluding high income),SSA,1927600000000.00
South Sudan,SSD,
Sub-Saharan Africa,SSF,1929050000000.00
Small states,SST,538706000000.00
Sao Tome and Principe,STP,526653790.70
Suriname,SUR,2984706244.00
Slovak Republic,SVK,116527000000.00
Slovenia,SVN,61748586535.00
Sweden,SWE,635664000000.00
Eswatini,SWZ,4743335153.00
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1454458184.00
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,943269800.00
Chad,TCD,11779980802.00
East Asia & Pacific (IDA & IBRD countries),TEA,20725200000000.00
Europe & Central Asia (IDA & IBRD countries),TEC,4550390000000.00
Togo,TGO,8413200568.00
Thailand,THA,505947000000.00
Tajikistan,TJK,8746270636.00
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5183130000000.00
Timor-Leste,TLS,3621222382.00
Middle East & North Africa (IDA & IBRD countries),TMN,1475710000000.00
Tonga,TON,469231309.50
South Asia (IDA & IBRD),TSA,4088770000000.00
Sub-Saharan Africa (IDA & IBRD countries),TSS,1929050000000.00
Trinidad and Tobago,TTO,24460196271.00
Tunisia,TUN,46686741814.00
Turkiye,TUR,819035000000.00
Tuvalu,TUV,63100961.54
Tanzania,TZA,67841049193.00
Uganda,UGA,40529789026.00
Ukraine,UKR,200086000000.00
Upper middle income,UMC,27104100000000.00
Uruguay,URY,59319484711.00
United States,USA,23315100000000.00
Uzbekistan,UZB,69238903106.00
St. Vincent and the Grenadines,VCT,904181492.80
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,366138000000.00
Vanuatu,VUT,956332655.70
World,WLD,96527400000000.00
Samoa,WSM,843842416.50
Kosovo,XKX,9412034299.00
"Yemen, Rep.",YEM,
South Africa,ZAF,419015000000.00
Zambia,ZMB,22147634727.00
Zimbabwe,ZWE,28371238666.00
